contract_group_id,group_type,commodity,basis,loading_place,quality,needs_vessel_alloc,vessel_id,vessel_id_loose_manual
1,фермер и сопутствующие,durum wheat,CPT,доставка в порт Тамань,"13,5 pro 75 vitr",True,,16
2,фермер и сопутствующие,durum wheat,EXW,"Ставропольский край, ст. Нижненикитская",12 pro 30 vitr,True,,15
3,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, с. Копытка","13,5 pro 75 vitr",True,,16
4,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, х. Клюев","13,5 pro 75 vitr",True,,16
5,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, с. Копытка","13,5 pro 75 vitr",True,,16
6,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, с. Копытка","13,5 pro 80 vitr",True,,17
7,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, ст. Дорофеевская",14 pro 80 vitr,True,,17
8,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, х. Клюев",14 pro 80 vitr,True,,17
9,фермер и сопутствующие,durum wheat,CPT,склад с. Новое,14 pro 80 vitr,True,,17
10,фермер и сопутствующие,durum wheat,CPT,доставка п. Кавказ,14 pro 80 vitr,True,,17
11,фермер и сопутствующие,durum wheat,EXW,"Астраханская обл, ст. Колчанская","13,5 pro 80 vitr",True,,18
12,фермер и сопутствующие,durum wheat,EXW,"Ставропольский край, ст. Нижненольная","13,5 pro 80 vitr",True,,18
13,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, х. Сенной","13,5 pro 80 vitr",True,,18
14,фермер и сопутствующие,durum wheat,EXW,"Астраханская обл, ст. Колчанская",14 pro 80 vitr,True,,18
15,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, х. Клюев","13,5 pro 80 vitr",True,,18
16,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, с. Солнечное",14 pro 80 vitr,True,,18
17,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, с. Заречное","13,5 pro 80 vitr",True,,18
18,фермер и сопутствующие,durum wheat,CPT,склад с. Новое,12 pro 50 vitr,True,,19
19,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, с. Дорфицкое",12 pro 30 vitr,True,,19
20,фермер и сопутствующие,durum wheat,CPT,склад с. Новое,12 pro 30 vitr,True,,19
21,фермер и сопутствующие,durum wheat,CPT,склад с. Новое,12 pro 30 vitr,True,,19
22,фермер и сопутствующие,durum wheat,CPT,склад с. Новое,12 pro 30 vitr,True,,19
23,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, с. Забытое",14 pro 80 vitr,True,,14
24,фермер и сопутствующие,durum wheat,CPT,склад с. Новое,12 pro 50 vitr,True,,15
25,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, х. Сенной",12 pro 30 vitr,True,,15
26,фермер и сопутствующие,durum wheat,EXW,"Краснодарский край, ст. Богатяновская",12 pro 30 vitr,True,,15
27,фермер и сопутствующие,durum wheat,EXW,"Ставропольский край, х. Жаркий",12 pro 30 vitr,True,,15
28,фермер и сопутствующие,durum wheat,EXW,"Ростовская обл, с. Вязкое",12 pro 50 vitr,True,,15
29,фермер и сопутствующие,durum wheat,EXW,"Саратовская обл, х. Сенной",12 pro 50 vitr,True,,15
