contract_type_id,name
1,автомобили/аренда ТС
2,автомобили/платная дорога
3,автомобили/предрейсовый медосмотр
4,автомобили/страхование
5,автомобили/ТО
6,автомобили/топливо
7,агентские/поиск поставщиков
8,административные/перевод-нотариус
9,административные/печати-штампы
10,административные/ПО
11,административные/услуги связи
12,аудит
13,банковские/депозиты
14,банковские/комиссии
15,банковские/между счетами
16,возмещение ндс
17,декларация соответствия
18,закупка
19,карантинки
20,командировочные/проживание
21,лабораторные
22,материалы
23,на персонал/вода питьевая
24,на персонал/оплата труда
25,на персонал/питание
26,основные средства
27,офис/аренда
28,офис/канцелярские
29,офис/клининговые услуги
30,офис/коммунальные услуги
31,офис/ТО
32,перевозка
33,портовые
34,представительские/конференции
35,представительские/реклама
36,продажа
37,складские
38,страхование судов
39,таможенное оформление
40,таможенный налог
41,фитосанитарные
42,штрафы
43,экспедиторские
44,юридические
45,агентские/в порту
46,пошлины
47,административные/доставка
48,на персонал/такси
49,консультационные
50,"на персонал/обязательное страхование, налоги"
51,банковские/конверсионные
52,на персонал/обучение
53,командировочные/визы
54,на персонал/подбор
55,на персонал/охрана труда
56,сюрвейерские
57,командировочные/авансовые
58,административные/авансовые
59,офис/авансовые
