payment_id,internal_number,payment_date,contract_id,counterpart_id,received_rub,paid_rub,operation_type
1,714959793,2023-07-18,218,73,0.0,6490.000000000001,Оплата поставщику
2,714513325,2023-07-18,218,73,0.0,16390.0,Оплата поставщику
3,714707628,2023-07-27,337,261,0.0,3315.5,Комиссия банка
4,714229583,2023-07-29,281,164,0.0,22990.000000000004,Оплата поставщику
5,714004244,2023-08-01,483,155,0.0,3900.0,Уплата налога
6,714449615,2023-08-01,483,155,0.0,9000.0,Уплата налога
7,714219284,2023-08-01,551,175,0.0,55.00000000000001,Уплата налога
8,714313176,2023-08-01,500,233,0.0,23925.000000000004,Перечисление заработной платы по ведомостям
9,714815630,2023-08-01,337,261,0.0,254.125,Комиссия банка
10,714226150,2023-08-03,226,81,0.0,493790.00000000006,Оплата поставщику
11,714890979,2023-08-03,231,94,0.0,11880.000000000002,Оплата поставщику
12,714377018,2023-08-03,245,116,0.0,4050.0,Оплата поставщику
13,714211626,2023-08-04,337,261,0.0,1140.0,Комиссия банка
14,714934693,2023-08-09,277,160,0.0,7260.0,Оплата поставщику
15,714088989,2023-08-02,1,3,234396582.60365716,0.0,Оплата от покупателя
16,714301422,2023-08-10,279,161,0.0,4140.0,Комиссия банка
17,714707266,2023-08-10,320,224,0.0,17050.0,Оплата поставщику
18,714182816,2023-08-10,562,233,0.0,10395000.0,Перевод на другой счет организации
19,714612272,2023-08-10,562,233,10395000.0,0.0,Перевод с другого счета
20,714218292,2023-08-10,561,233,0.0,198000000.00000003,Депозит
21,714591228,2023-08-04,459,64,0.0,77880.0,Оплата поставщику
22,714023379,2023-08-04,39,76,0.0,76675418.4738814,Оплата поставщику
23,714166505,2023-08-12,226,81,0.0,253770.00000000003,Оплата поставщику
24,714733488,2023-08-12,245,116,0.0,4050.0,Оплата поставщику
25,714349580,2023-08-12,499,161,194872.128,0.0,Прочее поступление
26,714558454,2023-08-04,389,171,0.0,3960000.0,Оплата поставщику
27,714350769,2023-08-04,40,219,0.0,108385200.0,Оплата поставщику
28,714016521,2023-08-12,561,233,198000000.00000003,0.0,Депозит
29,714896564,2023-08-12,561,233,0.0,50325000.00000001,Депозит
30,714388516,2023-08-15,224,79,0.0,56428.9,Оплата поставщику
31,714289682,2023-08-15,224,79,0.0,56648.9,Оплата поставщику
32,714346351,2023-08-15,249,122,0.0,12240.0,Оплата поставщику
33,714656127,2023-08-15,249,122,0.0,5940.0,Оплата поставщику
34,714399082,2023-08-15,251,124,0.0,56749.5,Оплата поставщику
35,714310544,2023-08-15,499,161,73890.0,0.0,Прочее поступление
36,714395667,2023-08-15,561,233,50325000.00000001,0.0,Депозит
37,714531363,2023-08-15,561,233,0.0,50160000.00000001,Депозит
38,714069363,2023-08-08,460,64,0.0,62040.00000000001,Оплата поставщику
39,714430945,2023-08-16,224,79,0.0,14847.800000000001,Оплата поставщику
40,714065852,2023-08-16,499,161,24579.143999999997,0.0,Прочее поступление
41,714223515,2023-08-16,315,216,0.0,6831.1320000000005,Оплата поставщику
42,714582368,2023-08-16,561,233,50160000.00000001,0.0,Депозит
43,714495196,2023-08-16,500,233,0.0,300221.9,Перечисление заработной платы по ведомостям
44,714915404,2023-08-16,561,233,0.0,49830000.00000001,Депозит
45,714398783,2023-08-16,342,271,0.0,1832.55,Оплата поставщику
46,714509610,2023-08-17,499,161,24387.732,0.0,Прочее поступление
47,714207822,2023-08-17,561,233,49830000.00000001,0.0,Депозит
48,714799069,2023-08-17,561,233,0.0,49830000.00000001,Депозит
49,714912940,2023-08-17,337,261,0.0,475.0,Комиссия банка
50,714089698,2023-08-17,345,276,0.0,25718.399999999998,Оплата поставщику
51,714128029,2023-08-10,1,3,234396582.60365716,0.0,Оплата от покупателя
52,714798900,2023-08-18,222,78,0.0,3135000.0000000005,Оплата поставщику
53,714424617,2023-08-18,499,161,24268.92,0.0,Прочее поступление
54,714916909,2023-08-18,561,233,49830000.00000001,0.0,Депозит
55,714357596,2023-08-18,561,233,0.0,243210000.00000003,Депозит
56,714794112,2023-08-18,350,283,0.0,15200.0,Оплата поставщику
57,714031877,2023-08-10,37,287,0.0,952380.0,Оплата поставщику
58,714627782,2023-08-19,167,9,0.0,8800.0,Оплата поставщику
59,714248226,2023-08-19,167,9,0.0,5500.0,Оплата поставщику
60,714468494,2023-08-11,461,64,0.0,90530.00000000001,Оплата поставщику
61,714905549,2023-08-19,266,151,0.0,12960.0,Оплата поставщику
62,714808449,2023-08-19,499,161,118814.064,0.0,Прочее поступление
63,714679072,2023-08-19,322,229,0.0,33309.221000000005,Прочее списание
64,714285776,2023-08-19,561,233,243210000.00000003,0.0,Депозит
65,714419080,2023-08-19,561,233,0.0,243265000.00000003,Депозит
66,714900807,2023-08-22,168,10,0.0,1914440.0000000002,Оплата поставщику
67,714160931,2023-08-22,224,79,0.0,204595.6,Оплата поставщику
68,714535767,2023-08-22,224,79,0.0,142998.90000000002,Оплата поставщику
69,714125930,2023-08-22,224,79,0.0,27111.7,Оплата поставщику
70,714936707,2023-08-22,483,155,0.0,48938.4,Уплата налога
71,714226294,2023-08-22,499,161,359568.144,0.0,Прочее поступление
72,714476242,2023-08-22,286,173,0.0,22000.0,Оплата поставщику
73,714308850,2023-08-22,315,216,0.0,12433.971000000001,Оплата поставщику
74,714783563,2023-08-22,561,233,243265000.00000003,0.0,Депозит
75,714622338,2023-08-22,561,233,0.0,239030000.00000003,Депозит
76,714970464,2023-08-22,564,247,0.0,2750.0,Уплата налога
77,714974982,2023-08-22,351,284,0.0,1723.3,Оплата поставщику
78,714514402,2023-08-22,351,284,0.0,1898.1,Оплата поставщику
79,714803640,2023-08-23,192,42,0.0,8951.800000000001,Оплата поставщику
80,714510395,2023-08-15,462,64,0.0,91806.00000000001,Оплата поставщику
81,714275216,2023-08-15,42,141,0.0,6089325.000000001,Оплата поставщику
82,714499410,2023-08-23,277,160,0.0,18000.0,Оплата поставщику
83,714390764,2023-08-23,499,161,118695.67199999999,0.0,Прочее поступление
84,714468798,2023-08-23,322,229,0.0,33309.221000000005,Прочее списание
85,714413566,2023-08-23,561,233,239030000.00000003,0.0,Депозит
86,714345342,2023-08-23,561,233,0.0,228085000.00000003,Депозит
87,714156576,2023-08-15,45,236,0.0,2989139.849014134,Оплата поставщику
88,714728236,2023-08-15,36,281,0.0,2723226.0000000005,Оплата поставщику
89,714564323,2023-08-24,224,79,0.0,7694.500000000001,Оплата поставщику
90,714090441,2023-08-24,499,161,114620.364,0.0,Прочее поступление
91,714603731,2023-08-16,33,213,0.0,22176000.0,Оплата поставщику
92,714739437,2023-08-24,561,233,228085000.00000003,0.0,Депозит
93,714413717,2023-08-24,561,233,0.0,209715000.00000003,Депозит
94,714160277,2023-08-24,564,247,0.0,2750.0,Уплата налога
95,714256799,2023-08-17,384,6,0.0,535920.0,Оплата поставщику
96,714134616,2023-08-25,251,124,0.0,12510.0,Оплата поставщику
97,714838593,2023-08-25,263,145,0.0,17280.0,Оплата поставщику
98,714029556,2023-08-25,499,161,105451.332,0.0,Прочее поступление
99,714964535,2023-08-17,386,171,0.0,1320000.0,Оплата поставщику
100,714186097,2023-08-25,561,233,209715000.00000003,0.0,Депозит
101,714584684,2023-08-25,561,233,0.0,185570000.00000003,Депозит
102,714843606,2023-08-25,333,249,0.0,2834.7000000000003,Оплата поставщику
103,714862946,2023-08-17,34,254,0.0,23760000.0,Оплата поставщику
104,714156858,2023-08-26,218,73,0.0,2970.0000000000005,Оплата поставщику
105,714953477,2023-08-26,224,79,10998.900000000001,0.0,Возврат от поставщика
106,714878363,2023-08-26,499,161,92646.72,0.0,Прочее поступление
107,714270416,2023-08-26,279,161,0.0,34.8,Комиссия банка
108,714108275,2023-08-26,279,161,0.0,34.8,Комиссия банка
109,714796600,2023-08-26,279,161,0.0,34.8,Комиссия банка
110,714959937,2023-08-26,300,194,0.0,71940.0,Оплата поставщику
111,714777883,2023-08-26,315,216,0.0,20231.871000000003,Оплата поставщику
112,714811125,2023-08-26,561,233,185570000.00000003,0.0,Депозит
113,714550802,2023-08-26,561,233,0.0,185548000.00000003,Депозит
114,714197656,2023-08-26,331,243,0.0,14300.000000000002,Оплата поставщику
115,714141809,2023-08-26,337,261,0.0,3315.5,Комиссия банка
116,714736525,2023-08-19,375,6,0.0,733561.2301440709,Оплата поставщику
117,714513046,2023-08-29,192,42,0.0,29013.600000000002,Оплата поставщику
118,714155881,2023-08-29,499,161,283548.312,0.0,Прочее поступление
119,714148288,2023-08-29,279,161,0.0,4140.0,Комиссия банка
120,714336875,2023-08-21,32,210,0.0,2772000.0,Оплата поставщику
121,714673580,2023-08-29,561,233,185548000.00000003,0.0,Депозит
122,714813049,2023-08-29,561,233,0.0,183480000.0,Депозит
123,714132843,2023-08-22,385,6,0.0,2640000.0,Оплата поставщику
124,714716742,2023-08-22,17,23,0.0,17883648.16794884,Оплата поставщику
125,714959237,2023-08-22,18,30,0.0,1790885.3249475893,Оплата поставщику
126,714947171,2023-08-30,237,108,0.0,154936.80000000002,Оплата поставщику
127,714305152,2023-08-30,499,161,94775.208,0.0,Прочее поступление
128,714475253,2023-08-30,561,233,183480000.0,0.0,Депозит
129,714760345,2023-08-30,561,233,0.0,162657000.0,Депозит
130,714782892,2023-08-22,37,287,0.0,956043.0,Оплата поставщику
131,714560268,2023-08-23,38,47,0.0,12477050.832045106,Оплата поставщику
132,714875841,2023-08-23,20,62,0.0,20280189.10404039,Оплата поставщику
133,714247688,2023-08-23,39,76,0.0,1112955.3166360362,Оплата поставщику
134,714597373,2023-08-31,226,81,0.0,124520.00000000001,Оплата поставщику
135,714203087,2023-08-31,245,116,0.0,6750.0,Оплата поставщику
136,714357383,2023-08-31,261,143,0.0,13500.0,Оплата поставщику
137,714604912,2023-08-31,499,161,83195.05200000001,0.0,Прочее поступление
138,714830787,2023-08-31,302,196,0.0,35310.0,Оплата поставщику
139,714289512,2023-08-23,559,211,0.0,1307257.864,Оплата поставщику
140,714331749,2023-08-23,41,219,0.0,16007557.531380752,Оплата поставщику
141,714065098,2023-08-31,561,233,162657000.0,0.0,Депозит
142,714621421,2023-08-31,565,248,0.0,2970.0000000000005,Оплата поставщику
143,714100888,2023-08-24,179,27,0.0,214500.00000000003,Оплата поставщику
144,714100069,2023-08-24,179,27,0.0,928686.0000000001,Оплата поставщику
145,714582856,2023-08-24,179,27,0.0,23100.000000000004,Оплата поставщику
146,714972092,2023-09-01,286,173,0.0,11916.179,Оплата поставщику
147,714746443,2023-09-01,315,216,0.0,7706.457,Оплата поставщику
148,714314689,2023-09-01,322,229,0.0,91784.00000000001,Прочее списание
149,714862896,2023-09-01,500,233,0.0,746813.496,Перечисление заработной платы по ведомостям
150,714181475,2023-09-01,500,233,0.0,6753.527,Перечисление по исполнительному листу работника
151,714219872,2023-09-01,561,233,0.0,110797500.00000001,Депозит
152,714517585,2023-09-01,334,258,0.0,12958.0,Оплата поставщику
153,714337241,2023-09-02,206,60,0.0,8474.697000000002,Оплата поставщику
154,714386807,2023-08-25,212,69,0.0,567138.6741838685,Оплата поставщику
155,714208841,2023-08-25,229,87,0.0,2574000.0,Оплата поставщику
156,714695725,2023-08-25,24,91,0.0,1422098.17907855,Оплата поставщику
157,714059855,2023-09-02,236,107,0.0,3060.0,Оплата поставщику
158,714978534,2023-09-02,245,116,0.0,18900.0,Оплата поставщику
159,714599072,2023-09-02,499,161,56571.119999999995,0.0,Прочее поступление
160,714487915,2023-09-02,561,233,110797500.00000001,0.0,Депозит
161,714279664,2023-09-02,500,233,0.0,209.17600000000002,Перечисление по исполнительному листу работника
162,714261278,2023-08-25,573,250,0.0,6454108.045000001,Прочее списание
163,714221784,2023-08-28,197,50,0.0,429660.0,Оплата поставщику
164,714431311,2023-08-28,212,69,0.0,652507.2231153953,Оплата поставщику
165,714607285,2023-08-28,24,91,0.0,1381052.9005652473,Оплата поставщику
166,714728370,2023-09-05,247,120,0.0,21530.7,Оплата поставщику
167,714362721,2023-08-28,428,142,0.0,16500.0,Оплата поставщику
168,714992651,2023-09-05,266,151,0.0,20640.0,Оплата поставщику
169,714264713,2023-09-05,315,216,0.0,14432.033000000001,Оплата поставщику
170,714038375,2023-09-05,608,233,0.0,5444.12,Перечисление подотчетному лицу
171,714348633,2023-09-05,501,233,0.0,35354.0,Перечисление подотчетному лицу
172,714300374,2023-09-05,501,233,0.0,27500.000000000004,Перечисление подотчетному лицу
173,714394380,2023-08-28,46,236,0.0,698076.2250000001,Оплата поставщику
174,714117556,2023-08-28,45,236,0.0,3531502.1917764307,Оплата поставщику
175,714238072,2023-09-06,224,79,116160.00000000001,0.0,Возврат от поставщика
176,714533535,2023-09-06,226,81,0.0,247830.00000000003,Оплата поставщику
177,714941527,2023-08-29,230,88,0.0,125943.84,Оплата поставщику
178,714394525,2023-08-29,24,91,0.0,1418476.5368567882,Оплата поставщику
179,714436555,2023-09-06,264,149,0.0,145548.0,Оплата поставщику
180,714956241,2023-09-06,264,149,0.0,145548.0,Оплата поставщику
181,714276933,2023-09-06,264,149,0.0,61036.248,Оплата поставщику
182,714486012,2023-09-06,286,173,0.0,22000.0,Оплата поставщику
183,714984196,2023-09-06,333,249,0.0,1415.7,Оплата поставщику
184,714024634,2023-09-06,351,284,0.0,9544.65,Оплата поставщику
185,714383829,2023-09-06,351,284,0.0,1713.8,Оплата поставщику
186,714369734,2023-09-07,502,65,0.0,1056.0,Уплата налога
187,714185080,2023-08-30,39,76,0.0,1100873.129482576,Оплата поставщику
188,714907631,2023-08-30,428,142,0.0,16500.0,Оплата поставщику
189,714251415,2023-09-07,279,161,0.0,34.8,Комиссия банка
190,714636746,2023-09-07,279,161,0.0,34.8,Комиссия банка
191,714388604,2023-09-07,279,161,0.0,34.8,Комиссия банка
192,714602775,2023-09-07,279,161,0.0,34.8,Комиссия банка
