project_id,fobbing_plan,export_tax_plan,profit_plan,cost_of_goods_plan,price_ctr_manual
1,1100.0,300.0,1303.25,20900.0,23603.250000000004
2,1100.0,600.0,4194.000000000004,20000.0,25894.000000000004
3,800.0,200.0,364.0,17820.0,19184.0
4,800.0,100.0,359.5,41580.0,42839.5
5,1100.0,550.0,3790.0,13600.0,19040.0
6,1100.0,600.0,3985.0000000000073,58500.0,64185.00000000001
7,1100.0,200.0,1050.0,14300.0,16650.0
8,1100.0,500.0,1750.0,17000.0,20350.0
9,1100.0,200.0,2650.0,17050.0,21000.0
10,1100.0,100.0,2000.0,16050.0,19250.0
11,1100.0,200.0,2450.0,15500.0,19250.0
12,1100.0,200.0,3000.0,18500.0,22800.0
13,1100.0,200.0,2700.0,16900.0,20900.0
14,1100.0,200.0,1410.0,14300.0,17010.0
15,1100.0,200.0,2520.0,16200.0,20020.0
16,1100.0,300.0,1400.0,13200.0,16000.0
17,800.0,100.0,328.0,38900.0,40128.0
