vessel_allocation_id,vessel_id,contract_id,quantity_allocated_mt,quantity_planned_mt
1,9,4,74.89900000000002,
2,4,17,119.088,
3,2,17,843.7,
4,2,18,104.995,
5,4,19,2758.332,
6,3,20,77.39999999999999,
7,5,20,251.472,
8,2,20,910.3600000000001,
9,3,21,148.68,
10,5,21,873.8600000000001,
11,5,22,202.072,
12,6,23,300.23400000000004,
13,5,24,76.037,
14,2,24,387.14500000000004,
15,5,25,114.86800000000001,
16,6,26,1650.0000000000002,
17,6,27,89.10000000000001,
18,5,27,51.75300000000001,
19,5,28,140.582,
20,5,29,975.169,
21,5,30,78.065,
22,6,31,910.6240000000001,
23,4,32,168.0,
24,3,33,1301.928,
25,2,34,1132.89,
26,5,35,260.546,
27,2,36,122.69400000000002,
28,3,37,93.78,
29,2,38,26.730000000000004,
30,5,38,540.254,
31,3,39,1795.176,
32,1,39,382.66799999999995,
33,5,39,728.962,
34,2,39,829.862,
35,4,39,315.16799999999995,
36,1,40,5776.295999999999,
37,1,41,77.28,
38,2,41,738.8919999999999,
39,2,42,275.0,
40,3,45,192.66,
41,2,45,146.19000000000003,
42,5,45,2051.4,
43,2,46,239.41500000000002,
44,9,47,220.00000000000003,
45,9,48,230.912,
46,9,49,312.07,
47,9,50,772.9700000000001,
48,8,51,734.844,
49,9,52,220.50600000000003,
50,9,53,92.422,
51,7,54,248.62200000000004,
52,7,55,405.68000000000006,
53,7,56,1917.652,
54,7,57,163.72400000000002,
55,7,58,892.364,
56,10,59,3713.82,
57,11,60,154.464,
58,12,61,134.883,
59,12,62,1159.659,
60,12,63,449.08200000000005,
61,12,67,2657.016,
62,13,67,65.725,
63,12,70,22.14,
64,13,72,828.85,
65,12,73,15.093,
66,13,73,72.9375,
67,13,74,210.3,
68,13,82,3861.125,
69,13,84,451.475,
70,13,85,73.27499999999999,
71,13,87,204.225,
72,13,88,193.75,
73,13,89,45.375,
74,14,90,2500.212,
75,14,91,1411.788,
76,15,91,241.32,
77,15,92,156.98399999999998,
78,15,93,420.0,
79,15,94,447.912,
80,15,95,2238.156,
81,16,95,148.29100000000003,
82,15,102,255.408,
83,15,103,142.344,
84,15,107,59.424,
85,16,108,2199.384,
86,16,110,543.884,
87,16,111,497.343,
88,17,111,731.3149999999999,
89,16,112,235.686,
90,17,113,282.1,
91,17,115,208.50699999999998,
92,18,115,504.5810000000001,
93,17,118,664.573,
94,17,121,2600.078,
95,17,122,1898.715,
96,18,122,569.6020000000001,
97,17,126,78.286,
98,18,128,110.00000000000001,
99,18,130,75.26200000000001,
100,18,133,240.94400000000002,
101,18,136,398.33200000000005,
102,18,137,1079.067,
103,18,141,3679.2690000000002,
104,18,145,1100.748,
105,19,150,0.0,
106,19,152,0.0,
107,19,157,0.0,
108,19,158,0.0,
109,19,159,0.0,
110,20,160,2725.554,
111,20,360,1046.8120000000001,
112,6,470,219.84600000000003,
113,6,43,126.643,
114,19,130,189.36,
115,19,133,73.008,
116,19,136,109.48800000000001,
117,20,149,790.933,
118,19,150,170.76000000000002,
119,19,152,638.52,
120,19,157,59.903999999999996,
121,19,158,1214.8319999999999,
122,19,159,734.82,
123,19,153,732.6479999999999,
124,19,242,852.144,
125,19,254,1214.94,
126,20,599,356.48600000000005,
127,1,1,0.0,5900.0
128,2,1,0.0,5800.0
129,3,1,0.0,3600.0
130,4,1,0.0,3300.0
131,5,1,0.0,6400.0
132,6,1,0.0,3600.0
